Data,NE,NW,SE,SW
43067,1.991780822,2.125874126,1.731111111,2.758083832
43068,3.424175824,0.793877551,4.403960396,2.478873239
43069,12.75052632,5.042222222,7.515740741,8.069186047
43070,2.820212766,1.773372781,0.210989011,0.615517241
43071,0.192857143,0.471111111,0.30212766,0.241258741
43072,0.916470588,2.011176471,5.488349515,1.18603352
43073,1.371276596,0.659854015,1.665420561,2.4
43074,4.213829787,3.928415301,5.7,3.462777778
43075,8.241489362,5.594021739,3.612962963,1.894573643
43076,0.666101695,2.401818182,0.123076923,0.699090909
43077,0.747222222,1.964102564,3.88,1.135031847
43078,0.365116279,2.037640449,3.98172043,0.906535948
43079,1.053658537,2.780540541,0.47979798,1.343137255
43080,1.143373494,1.465714286,0.43943662,0.638383838
43081,0.16,1.9824,3.629166667,0.82
43082,0.244444444,2.484782609,0.963636364,1.887234043
43083,3.306451613,2.150568182,0.863333333,2.964335664
43084,3.397333333,1.91025641,3.627710843,2.464233577
43085,0.261764706,1.41037037,1.639130435,0.988111888
43086,0.026415094,0.49673913,0.323863636,1.546405229
43087,0.046,0.277083333,0.138356164,0.25862069
43088,0.547222222,0.721153846,0.155263158,0.915441176
43089,0.498734177,2.228571429,1.866019417,0.465492958
43090,3.2,2.050887574,2.075700935,3.795628415
43091,1.216,1.917419355,3.007843137,1.85988024
43092,7.595698925,3.135057471,5.986111111,1.665972222
43093,8.072631579,4.591071429,2.420792079,1.874311927
43094,1.694318182,1.436585366,0.187096774,0.478947368
43095,0.45,0.595652174,0.25,0
43096,0.286363636,0.818421053,0.696428571,1.251923077
43097,1.377922078,7.329508197,6.150925926,6.846994536
43098,4.02972973,1.343243243,2.95,0.984259259
43099,2.796842105,3.776216216,1.673148148,1.786419753
43100,0.95,2.2,0.656190476,1.269375
43101,0.569047619,1.097142857,0.628169014,0.446575342
43102,1.124615385,2.167241379,0.571014493,1.283216783
43103,2.949438202,9.364324324,3.289908257,7.208379888
43104,2.448275862,3.76961326,0.656097561,0.777586207
43105,1.796551724,1.546376812,0.909210526,1.348360656
43106,0.4,0.902040816,0.910714286,0.534375
43107,1.025,0.347058824,1.333684211,1.445637584
43108,0.142857143,0.1,3.601818182,2.137662338
43109,0.128571429,1.393333333,0.195454545,0.47
43110,0.2,4.738064516,1.710606061,8.673446328
43111,0.194444444,1.143089431,0.633,0.710967742
43112,0.007692308,0.221794872,0.283783784,0.270833333
43113,0.0125,0.007692308,0.182222222,0.16
43114,0.03,0.0875,0.012903226,0.004878049
43115,0.066666667,1.697637795,0.577777778,0.57125
43116,3.603370787,6.571657754,2.541509434,2.650555556
43117,3.317582418,1.626086957,1.861111111,2.389502762
43118,3.478021978,8.110695187,3.560550459,4.567597765
43119,1.79010989,1.331843575,0.401904762,0.851190476
43120,0.981521739,0.640350877,0.681308411,0.983236994
43121,0.038461538,0.061490683,2.435576923,0.958024691
43122,0.021348315,0.058536585,0.074257426,0.354658385
43123,0.064044944,0.447428571,0.02254902,0.319375
43124,0.745555556,0.690797546,0.075247525,0.121969697
43125,1.207317073,3.440909091,0.147058824,0.327941176
43126,1.497333333,2.075,0.1125,0.705154639
43127,0.761842105,2.43583815,0.714772727,1.330722892
43128,2.750561798,2.5375,1.990566038,1.862585034
43129,7.391304348,4.910160428,3.496330275,3.145977011
43130,3.750588235,1.746031746,0.408474576,0.445762712
43131,2.841860465,4.026775956,1.244736842,2.955238095
43132,4.057471264,1.116666667,4.899,4.190697674
43133,0.8,0.81440678,8.666176471,0.341538462
43134,0.218181818,2.100564972,6.75,1.272077922
43135,0.303389831,0.872316384,2.001123596,1.586705202
43136,0.672619048,1.048214286,0.81443299,0.448809524
43137,0.186746988,0.174305556,0.038554217,0.035338346
43138,0.329761905,0.074545455,2.283495146,3.165185185
43139,0.026086957,0.004123711,0.921649485,0.25
43140,0,0.003157895,0.521505376,0.026363636
43141,0.008,0.007865169,0.063333333,0.046
43142,0.4546875,0.573837209,0.058163265,0.189570552
43143,0.067142857,0.055223881,0.882653061,0.373376623
43144,0.365454545,0.067647059,1.612121212,0.933333333
43145,0.5,0.07,2.381372549,0.934
43146,0.029032258,0.729746835,0.09,0.141721854
43147,0.973333333,0.881595092,1.170588235,0.767586207
43148,0.91744186,0.433057851,0.141052632,0.413953488
43149,0.264102564,0.106122449,0.28125,0.065168539
43150,0.038596491,0,0,0.002083333
43151,0.032432432,0.021428571,0.365517241,0
43152,0.183783784,0.603389831,0.247619048,0.054
43153,0.029545455,0.063934426,0.234146341,0.077419355
43154,1.702247191,0.85959596,0.671568627,0.205517241
43155,0.035227273,0.231034483,1.172897196,0.585798817
43156,0.014942529,0.357142857,0.225,0.079674797
43157,0.092857143,0.671578947,0.156989247,0.125663717
43158,0.044578313,0.250387597,0.596774194,0.206015038
43159,0.275862069,0.042268041,0.254081633,0.036363636
43160,0.908235294,0.42,0.056043956,0.028409091
43161,0.191666667,0.174666667,0.035955056,0.027142857
43162,0.10125,0.0453125,0.011904762,0.009090909
43163,0,0.003508772,0,0
43164,0.001449275,0.12173913,0.006666667,0.4
43165,0.859302326,3.948924731,1.377272727,4.288950276
43166,0.28902439,0.810989011,1.148611111,0.4
43167,0.105128205,2.070857143,1.211111111,0.502564103
43168,2.001086957,1.771034483,0.548421053,0.47027027
43169,1.372368421,1.821428571,0.041463415,0.393548387
43170,0.944262295,0.628888889,0.160606061,0.168571429
43171,0.951898734,5.762365591,0.980327869,3.289017341
43172,0.947457627,2.901744186,0.826315789,1.148598131
43173,0.655555556,1.188819876,1.510344828,1.245398773
43174,0.15,0.263636364,0.470588235,0.464444444
43175,4.6,1.210714286,10.08380952,7.292655367
43176,0.025,0.13125,0.563366337,0.801169591
43177,0.0125,0.0375,2.043,0.106122449
43178,0.05,0.07,0.291919192,0.034306569
43179,0.227027027,0.38030303,1.483653846,0.764238411
43180,0.503076923,1.060248447,0.187878788,0.146043165
43181,0.192307692,1.44,0.078021978,0.336607143
43182,0.064705882,0.251851852,0.025396825,0.526732673
43183,0.1,0.09,0,0.016129032
43184,0.1,0.033333333,0,0.038888889
43185,0.218518519,0.52,0.278571429,0.882580645
43186,0.323076923,0.429032258,1.683870968,0.786567164
43187,1.005882353,3.659090909,1.802884615,3.005084746
43188,3.260869565,2.167283951,2.374528302,1.005309735
43189,0.110447761,0.2546875,1.940740741,0.4
43190,7.264444444,9.673655914,7.887272727,6.429120879
43191,14.96847826,4.249425287,7.593577982,1.383823529
43192,0.748529412,0.911428571,0.365217391,0.104545455
43193,0.454347826,0.787272727,0.1125,0.1875
43194,0.2375,1.430927835,0.5625,0.257142857
43195,0.2,1.348514851,5.257142857,1.448333333
43196,0.1,1.228571429,1.476666667,0.0375
43197,,0.133333333,0,0
43198,0.5,3.14109589,1.133333333,3.008823529
43199,0.433333333,1.853846154,0,0.033333333
43200,2.377777778,1.54893617,2.340384615,4.073333333
43201,0.391304348,0.293023256,0.125,0.02
43202,,0.572727273,0.1,1.395454545
43203,2.354545455,5.407352941,2.239240506,3.363636364
43204,2.872222222,1.232631579,1.633333333,0.16
43205,1.9,0.941666667,0.687096774,1.664864865
43206,6.912328767,9.320540541,1.601265823,4.648
43207,0.923611111,0.273333333,0.551282051,0.321621622
43208,0.1,1.72,0,0
43209,0.1,0.05,0,0
43210,,0,0,0
43211,,0,0,0
43212,,0.989473684,1.05,1.92195122
43213,3.209782609,3.447272727,3.825961538,4.414117647
43214,0.7,2.108284024,0.513333333,0.82962963
43215,6.230769231,4.818378378,1.115,1.125694444
43216,2.072857143,3.053409091,3.431775701,1.571523179
43217,0.592857143,0.427272727,0.516666667,0
43218,0.514814815,1.144827586,1.813636364,1
43219,5.109259259,2.727777778,4.856338028,2.452777778
43220,3.083783784,1.58021978,0.966666667,1.922093023
43221,4.653448276,0.838888889,0.388235294,0.495121951
43222,0.885714286,10.18819444,1.696666667,2.289795918
